quiz_id,level,title,description,quiz_category,quiz_tags,version,status,question_number,question_text,question_category,question_tags,explanation,correct_index,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9
a1-011,A1,Irregular Verbs,Practice Irregular Verbs.,Grammar,"Grammar,A1",1,draft,2,Choose the correct past form: She ___ to Paris last year.,Grammar,"Grammar,A1",Went is the irregular past tense of go.,3,goed,gos,went,go,,,,,
a1-011,A1,Irregular Verbs,Practice Irregular Verbs.,Grammar,"Grammar,A1",1,draft,3,Choose the correct past form: He ___ his keys yesterday.,Grammar,"Grammar,A1",Lost is the irregular past tense of lose.,2,losed,lost,lose,loses,,,,,
a1-011,A1,Irregular Verbs,Practice Irregular Verbs.,Grammar,"Grammar,A1",1,draft,4,Choose the correct past form: They ___ the cake at the party.,Grammar,"Grammar,A1",Ate is the irregular past tense of eat.,1,ate,eated,eat,eating,,,,,
a1-011,A1,Irregular Verbs,Practice Irregular Verbs.,Grammar,"Grammar,A1",1,draft,5,Choose the correct past form: I ___ a great book last week.,Grammar,"Grammar,A1",Read (past tense) is spelled the same as the present but pronounced differently.,4,readed,reads,reading,read,,,,,
a2-001,A2,Comparative Adjectives,Practice Comparative Adjectives.,Grammar,"Grammar,A2",1,published,1,A car is ___ than a bicycle.,Grammar,"Grammar,A2",Use the comparative form faster for a two-item comparison.,1,faster,fast,fastest,more fast,,,,,
a2-002,A2,Present Continuous,Practice Present Continuous.,Grammar,"Grammar,A2",1,published,1,Look! The baby ___.,Grammar,"Grammar,A2",Use am/is/are + -ing for an action happening now.,3,sleep,sleeps,is sleeping,slept,,,,,
a2-003,A2,Past Continuous,Practice Past Continuous.,Grammar,"Grammar,A2",1,published,1,"At 8 p.m., I ___ dinner.",Grammar,"Grammar,A2",Use was/were + -ing for an action in progress at a past time.,2,cook,was cooking,cooked,am cooking,,,,,
a2-004,A2,Future: going to,Practice Future: going to.,Grammar,"Grammar,A2",1,published,1,We ___ visit next weekend.,Grammar,"Grammar,A2",Use be + going to + base verb for plans.,1,are going to,going,are go,went,,,,,
a2-005,A2,First Conditional,Practice First Conditional.,Grammar,"Grammar,A2",1,published,1,"If it rains, we ___ at home.",Grammar,"Grammar,A2","The first conditional uses if + present, then will + base verb.",2,stay,will stay,stayed,would stay,,,,,
a2-006,A2,Countable/Uncountable,Practice Countable/Uncountable.,Grammar,"Grammar,A2",1,published,1,How ___ water do you need?,Grammar,"Grammar,A2",Use much with uncountable nouns.,2,many,much,few,a lot,,,,,
a2-007,A2,Adverbs of Frequency,Practice Adverbs of Frequency.,Grammar,"Grammar,A2",1,published,1,She ___ gets up early; almost every day.,Grammar,"Grammar,A2",Usually means something happens often but not always.,3,never,rarely,usually,never is,,,,,
a2-008,A2,Modal: should,Practice Modal: should.,Grammar,"Grammar,A2",1,published,1,You ___ see a doctor if you feel very ill.,Grammar,"Grammar,A2",Should is followed by the base verb.,1,should,must to,can to,should to,,,,,
a2-009,A2,Present Perfect,Practice Present Perfect.,Grammar,"Grammar,A2",1,published,1,I ___ my homework already.,Grammar,"Grammar,A2",Use have/has + past participle for a completed action connected to now.,3,finish,finished,have finished,am finishing,,,,,
a2-010,A2,Too / Enough,Practice Too / Enough.,Grammar,"Grammar,A2",1,published,1,This box is ___ heavy for me to carry.,Grammar,"Grammar,A2",Too + adjective means more than is wanted or possible.,2,enough,too,very enough,too much,,,,,
a2-011,A2,Synonyms,Practice Synonyms.,Vocabulary,"Vocabulary,A2",1,draft,1,Choose the closest synonym for 'happy'.,Vocabulary,"Vocabulary,A2",Glad is a close synonym of happy.,1,glad,angry,tired,bored,confused,,,,
a2-011,A2,Synonyms,Practice Synonyms.,Vocabulary,"Vocabulary,A2",1,draft,2,Choose the closest synonym for 'big'.,Vocabulary,"Vocabulary,A2",Large is a close synonym of big.,3,tiny,short,large,narrow,thin,,,,
a2-011,A2,Synonyms,Practice Synonyms.,Vocabulary,"Vocabulary,A2",1,draft,3,Choose the closest synonym for 'fast'.,Vocabulary,"Vocabulary,A2",Quick is a close synonym of fast.,2,slow,quick,heavy,quiet,soft,,,,
a2-011,A2,Synonyms,Practice Synonyms.,Vocabulary,"Vocabulary,A2",1,draft,4,Choose the closest synonym for 'smart'.,Vocabulary,"Vocabulary,A2",Clever is a close synonym of smart.,4,lazy,rude,shy,clever,plain,,,,
a2-011,A2,Synonyms,Practice Synonyms.,Vocabulary,"Vocabulary,A2",1,draft,5,Choose the closest synonym for 'sad'.,Vocabulary,"Vocabulary,A2",Unhappy is a close synonym of sad.,5,funny,brave,calm,loud,unhappy,,,,
b1-001,B1,Present Perfect vs Past Simple,Practice Present Perfect vs Past Simple.,Grammar,"Grammar,B1",1,published,1,"I ___ London twice, but I first went there in 2022.",Grammar,"Grammar,B1",Use present perfect for life experience without a finished past time.,1,have visited,visited,am visiting,visit,,,,,
b1-002,B1,Second Conditional,Practice Second Conditional.,Grammar,"Grammar,B1",1,published,1,"If I had more time, I ___ another language.",Grammar,"Grammar,B1","Use if + past, would + base verb for hypothetical situations.",3,learn,will learn,would learn,learned,,,,,
b1-003,B1,Relative Clauses,Practice Relative Clauses.,Grammar,"Grammar,B1",1,published,1,The woman ___ lives next door is a doctor.,Grammar,"Grammar,B1",Use who for people.,2,which,who,where,what,,,,,
b1-004,B1,Reported Speech,Practice Reported Speech.,Grammar,"Grammar,B1",1,published,1,He said that he ___ tired.,Grammar,"Grammar,B1",Backshift is commonly used when reporting a past statement.,2,is,was,has,will,,,,,
b1-005,B1,Gerunds and Infinitives,Practice Gerunds and Infinitives.,Grammar,"Grammar,B1",1,published,1,She enjoys ___ books.,Grammar,"Grammar,B1",Enjoy is followed by a gerund (-ing form).,3,read,to read,reading,reads,,,,,
b1-006,B1,Modal Deduction,Practice Modal Deduction.,Grammar,"Grammar,B1",1,published,1,The lights are off. They ___ be at home.,Grammar,"Grammar,B1",Can't expresses a strong negative deduction.,2,must,can't,should,need,,,,,
b1-007,B1,Passive Voice,Practice Passive Voice.,Grammar,"Grammar,B1",1,published,1,The bridge ___ in 1990.,Grammar,"Grammar,B1",The past passive uses was/were + past participle.,2,built,was built,is building,has build,,,,,
b1-008,B1,Linkers,Practice Linkers.,Writing,"Writing,B1",1,published,1,"I was tired; ___, I finished the report.",Writing,"Writing,B1",However introduces a contrast.,1,however,because,so that,unless,,,,,
b1-009,B1,Used to,Practice Used to.,Grammar,"Grammar,B1",1,published,1,I ___ play football every weekend when I was younger.,Grammar,"Grammar,B1",Used to describes past habits or states.,2,use to,used to,am used to,used,,,,,
b1-010,B1,Phrasal Verbs,Practice Phrasal Verbs.,Vocabulary,"Vocabulary,B1",1,published,1,Please ___ the lights before you leave.,Vocabulary,"Vocabulary,B1",Turn off means switch something off.,1,turn off,turn up to,turning off,turned,,,,,
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,1,Put the words in order: yesterday / to / went / I / the / market /.,Grammar,"Grammar,B1",Standard SVO order places the time expression at the end.,1,I went to the market yesterday.,Yesterday market the to went I.,I to the market went yesterday.,Went I yesterday to the market.,,,,,
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,2,Which word order is correct for a yes/no question?,Grammar,"Grammar,B1",Auxiliary verbs invert with the subject in questions.,2,You are ready?,Are you ready?,You ready are?,Ready you are?,,,,,
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,3,Which sentence has correct adjective order?,Grammar,"Grammar,B1",English adjective order is opinion-size-age-shape-color-origin-material-purpose.,1,A beautiful small old round black wooden box.,A wooden black round old small beautiful box.,A box beautiful small old round black wooden.,A small beautiful box.,,,,,
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,4,Which sentence places the adverb correctly?,Grammar,"Grammar,B1",Adverbs of frequency usually go before the main verb.,3,I always am late.,I am always late for work not.,I am always late.,Always I am late.,,,,,
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,5,Choose the sentence with the correct word order among all nine options.,Grammar,"Grammar,B1",Only option 9 follows correct subject-verb-object order.,9,Market I yesterday went to the.,To the market yesterday I went.,Yesterday I the market to went.,Went to market the I yesterday.,The market yesterday to I went.,I market the yesterday went to.,To market the I went yesterday.,Market to the yesterday went I.,I went to the market yesterday.
b1-011,B1,Word Order,Practice Word Order.,Grammar,"Grammar,B1",1,draft,6,Which question word order is correct?,Grammar,"Grammar,B1",Wh-question word order is question word + auxiliary + subject + verb.,1,Where are you going?,Where you are going?,You are going where?,Going where you are?,,,,,
b2-001,B2,Mixed Conditionals,Practice Mixed Conditionals.,Grammar,"Grammar,B2",1,published,1,"If I had studied harder, I ___ more confident now.",Grammar,"Grammar,B2",A past condition can have a present result.,2,will be,would be,am,would have been,,,,,
b2-002,B2,Inversion,Practice Inversion.,Grammar,"Grammar,B2",1,published,1,Rarely ___ such a beautiful performance.,Grammar,"Grammar,B2",Restrictive adverbs at the front can trigger inversion.,2,I have seen,have I seen,I saw,did I have seen,,,,,
b2-003,B2,Modal Perfect,Practice Modal Perfect.,Grammar,"Grammar,B2",1,published,1,She ___ have forgotten the meeting; she never misses one.,Grammar,"Grammar,B2",Can't have + past participle expresses a strong negative deduction.,2,must,can't,should,can,,,,,
b2-004,B2,Causative,Practice Causative.,Grammar,"Grammar,B2",1,published,1,I had my car ___ yesterday.,Grammar,"Grammar,B2",Have + object + past participle describes a service arranged for someone.,2,repair,repaired,repairing,to repair,,,,,
b2-005,B2,Participle Clauses,Practice Participle Clauses.,Grammar,"Grammar,B2",1,published,1,"___ the report, she sent it to the manager.",Grammar,"Grammar,B2",Having + past participle shows the first action happened before the second.,2,Finishing,Having finished,To finish,Finished,,,,,
b2-006,B2,Advanced Passive,Practice Advanced Passive.,Grammar,"Grammar,B2",1,published,1,The suspect is believed ___ abroad.,Grammar,"Grammar,B2",Is believed + to have + past participle reports an earlier action.,1,to have fled,fleeing to have,that fled,to fleeing,,,,,
b2-007,B2,Hedging,Practice Hedging.,Academic English,"Academic English,B2",1,published,1,The results ___ suggest that the policy was effective.,Academic English,"Academic English,B2",Appear to is a cautious way to state a conclusion.,2,clearly,appear to,must,never,,,,,
b2-008,B2,Collocation,Practice Collocation.,Vocabulary,"Vocabulary,B2",1,published,1,The company needs to ___ a decision quickly.,Vocabulary,"Vocabulary,B2",Make a decision is the standard collocation.,2,do,make,take up,put,,,,,
b2-009,B2,Concession,Practice Concession.,Grammar,"Grammar,B2",1,published,1,"___ the heavy traffic, we arrived on time.",Grammar,"Grammar,B2",Despite is followed by a noun phrase or gerund.,1,Despite,Although of,However,Because,,,,,
b2-010,B2,Register,Practice Register.,Writing,"Writing,B2",1,published,1,Which is most appropriate in a formal report?,Writing,"Writing,B2","Formal reports favor precise, neutral vocabulary.",2,Kids need more help.,Children require additional support.,Kids gotta get help.,Children need stuff.,,,,,
c1-001,C1,Advanced Conditionals,Practice Advanced Conditionals.,Grammar,"Grammar,C1",1,published,1,"Had I known about the delay, I ___ earlier.",Grammar,"Grammar,C1",Had I known is an inverted third conditional.,2,would leave,would have left,will have left,left,,,,,
c1-002,C1,Subjunctive,Practice Subjunctive.,Grammar,"Grammar,C1",1,published,1,It is essential that every applicant ___ the form.,Grammar,"Grammar,C1",Formal English may use the base form after essential that.,2,completes,complete,completed,will complete,,,,,
c1-003,C1,Cleft Sentences,Practice Cleft Sentences.,Grammar,"Grammar,C1",1,published,1,___ I object to is the lack of evidence.,Grammar,"Grammar,C1",What I object to is a cleft construction.,1,What,That,Which,It,,,,,
c1-004,C1,Discourse Markers,Practice Discourse Markers.,Writing,"Writing,C1",1,published,1,"The proposal is ambitious. ___, it is financially realistic.",Writing,"Writing,C1",Nevertheless signals contrast.,1,Nevertheless,For example,Similarly,Consequently,,,,,
c1-005,C1,Nominalisation,Practice Nominalisation.,Academic English,"Academic English,C1",1,published,1,The committee decided to delay the vote. The ___ was unexpected.,Academic English,"Academic English,C1",Decision is the noun form of decide.,2,decide,decision,deciding,decisive,,,,,
c1-006,C1,Ellipsis,Practice Ellipsis.,Grammar,"Grammar,C1",1,published,1,"I can finish the report, and she can ___ too.",Grammar,"Grammar,C1",The repeated main verb can be retained or omitted after a modal; finish is the natural completion.,1,finish,does,so,can,,,,,
c1-007,C1,Lexical Precision,Practice Lexical Precision.,Vocabulary,"Vocabulary,C1",1,published,1,The evidence was ___; it supported several interpretations.,Vocabulary,"Vocabulary,C1",Ambiguous means open to more than one interpretation.,1,ambiguous,ambitious,arbitrary,obsolete,,,,,
c1-008,C1,Inversion after Only,Practice Inversion after Only.,Grammar,"Grammar,C1",1,published,1,Only after the meeting ___ the implications become clear.,Grammar,"Grammar,C1",Only + fronted adverbial can require inversion.,1,did,were,have,do,,,,,
c1-009,C1,Academic Stance,Practice Academic Stance.,Academic English,"Academic English,C1",1,published,1,The findings ___ indicate a relationship between the variables.,Academic English,"Academic English,C1",Appear to indicates cautious academic interpretation.,1,appear to,definitely prove,obviously are,must,,,,,
c1-010,C1,Collocation,Practice Collocation.,Vocabulary,"Vocabulary,C1",1,published,1,The report draws ___ attention to a serious gap.,Vocabulary,"Vocabulary,C1",Draw sharp attention to is a natural formal collocation.,2,strong,sharp,heavy,big,,,,,
c2-001,C2,Nuanced Modality,Practice Nuanced Modality.,Grammar,"Grammar,C2",1,published,1,"He ___ have been aware of the risk, but the evidence is inconclusive.",Grammar,"Grammar,C2",May have been expresses a possible past state.,1,may,must,will,should,,,,,
c2-002,C2,Concessive Inversion,Practice Concessive Inversion.,Grammar,"Grammar,C2",1,published,1,"Much as I ___ the argument, I cannot accept the conclusion.",Grammar,"Grammar,C2",Much as + verb introduces a strong concession.,1,admire,am admiring,admired,would admire,,,,,
c2-003,C2,Fronting,Practice Fronting.,Grammar,"Grammar,C2",1,published,1,What the report fails to explain ___ why the figures changed.,Grammar,"Grammar,C2","The subject is a singular noun clause, so use is.",2,are,is,be,have,,,,,
c2-004,C2,Register and Tone,Practice Register and Tone.,Writing,"Writing,C2",1,published,1,Which phrase is most suitable for a highly formal academic paper?,Writing,"Writing,C2",A substantial proportion of is formal and precise.,2,a lot of,a substantial proportion of,loads of,tons of,,,,,
c2-005,C2,Semantic Nuance,Practice Semantic Nuance.,Vocabulary,"Vocabulary,C2",1,published,1,"The minister's response was deliberately ___, avoiding a direct commitment.",Vocabulary,"Vocabulary,C2",Equivocal means deliberately unclear or open to more than one interpretation.,1,equivocal,equivalent,explicit,conclusive,,,,,
c2-006,C2,Advanced Relative Construction,Practice Advanced Relative Construction.,Grammar,"Grammar,C2",1,published,1,"The proposal, ___ merits were debated for months, was finally rejected.",Grammar,"Grammar,C2",Whose can express possession in a non-defining relative clause.,2,which,whose,whom,where,,,,,
c2-007,C2,Inversion with Negative Adverbial,Practice Inversion with Negative Adverbial.,Grammar,"Grammar,C2",1,published,1,Under no circumstances ___ the data be altered.,Grammar,"Grammar,C2",Negative fronted adverbials trigger inversion.,1,should,the data should,would,have,,,,,
c2-008,C2,Pragmatics,Practice Pragmatics.,Vocabulary,"Vocabulary,C2",1,published,1,Her 'That's interesting' was probably ___ given her dismissive tone.,Vocabulary,"Vocabulary,C2",Tone and context can make a seemingly positive phrase sarcastic.,2,enthusiastic,sarcastic,literal,grateful,,,,,
c2-009,C2,Idiomatic Precision,Practice Idiomatic Precision.,Vocabulary,"Vocabulary,C2",1,published,1,The new evidence ___ serious doubt on the original claim.,Vocabulary,"Vocabulary,C2",Cast doubt on is the standard collocation.,1,casts,throws up,does,makes,,,,,
c2-010,C2,Synthesis,Practice Synthesis.,Academic English,"Academic English,C2",1,published,1,"Taken together, the findings ___ a more complex picture than the initial hypothesis suggested.",Academic English,"Academic English,C2",Paint a picture is a common metaphorical collocation in analytical writing.,1,paint,draw,write,build,,,,,
